cmpt_id,cmpt_name,cmpt_version,app_id,app_name,app_version,license,status,requester,description,monitoring_id,monitoring_digest,issue_count
00008000,cmpt_8000,78.69.30,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008000,na,0
00008001,cmpt_8001,61.37.68,00008000,cmpt_8000,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8000,00008001,na,0
00008002,cmpt_8002,9.73.6,00008001,cmpt_8001,61.37.68,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8001,00008002,na,0
00008003,cmpt_8003,64.20.61,00008002,cmpt_8002,9.73.6,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8002,00008003,na,0
00008004,cmpt_8004,54.78.39,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008004,na,0
00008005,cmpt_8005,27.49.28,00008004,cmpt_8004,54.78.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8004,00008005,na,0
00008006,cmpt_8006,59.61.74,00008005,cmpt_8005,27.49.28,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8005,00008006,na,0
00008007,cmpt_8007,36.84.52,00008006,cmpt_8006,59.61.74,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8006,00008007,na,0
00008008,cmpt_8008,56.21.87,00008007,cmpt_8007,36.84.52,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8007,00008008,na,0
00008009,cmpt_8009,47.66.24,00008008,cmpt_8008,56.21.87,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8008,00008009,na,0
00008010,cmpt_8010,29.83.77,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008010,na,0
00008011,cmpt_8011,71.99.31,00008010,cmpt_8010,29.83.77,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8010,00008011,na,0
00008012,cmpt_8012,26.18.19,00008011,cmpt_8011,71.99.31,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8011,00008012,na,0
00008013,cmpt_8013,68.37.4,00008012,cmpt_8012,26.18.19,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8012,00008013,na,0
00008014,cmpt_8014,19.66.68,00008013,cmpt_8013,68.37.4,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8013,00008014,na,0
00008015,cmpt_8015,74.67.7,00008014,cmpt_8014,19.66.68,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8014,00008015,na,0
00008016,cmpt_8016,81.73.12,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008016,na,0
00008017,cmpt_8017,100.92.80,00008016,cmpt_8016,81.73.12,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8016,00008017,na,0
00008018,cmpt_8018,49.1.68,00008017,cmpt_8017,100.92.80,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8017,00008018,na,0
00008019,cmpt_8019,86.36.23,00008018,cmpt_8018,49.1.68,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8018,00008019,na,0
00008020,cmpt_8020,76.68.11,00008019,cmpt_8019,86.36.23,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8019,00008020,na,0
00008021,cmpt_8021,10.14.70,00008020,cmpt_8020,76.68.11,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8020,00008021,na,0
00008022,cmpt_8022,18.31.73,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008022,na,0
00008023,cmpt_8023,71.74.25,00008022,cmpt_8022,18.31.73,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8022,00008023,na,0
00008024,cmpt_8024,21.65.70,00008023,cmpt_8023,71.74.25,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8023,00008024,na,0
00008025,cmpt_8025,37.6.14,00008024,cmpt_8024,21.65.70,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8024,00008025,na,0
00008026,cmpt_8026,77.15.36,00008025,cmpt_8025,37.6.14,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8025,00008026,na,0
00008027,cmpt_8027,88.69.43,00008026,cmpt_8026,77.15.36,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8026,00008027,na,0
00008028,cmpt_8028,86.84.85,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008028,na,0
00008029,cmpt_8029,94.44.97,00008028,cmpt_8028,86.84.85,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8028,00008029,na,0
00008030,cmpt_8030,35.60.30,00008029,cmpt_8029,94.44.97,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8029,00008030,na,0
00008031,cmpt_8031,55.19.77,00008030,cmpt_8030,35.60.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8030,00008031,na,0
00008032,cmpt_8032,16.7.9,00008031,cmpt_8031,55.19.77,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8031,00008032,na,0
00008033,cmpt_8033,97.3.33,00008032,cmpt_8032,16.7.9,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8032,00008033,na,0
00008034,cmpt_8034,82.80.32,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008034,na,0
00008035,cmpt_8035,8.31.61,00008034,cmpt_8034,82.80.32,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8034,00008035,na,0
00008036,cmpt_8036,21.69.76,00008035,cmpt_8035,8.31.61,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8035,00008036,na,0
00008037,cmpt_8037,49.7.72,00008036,cmpt_8036,21.69.76,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8036,00008037,na,0
00008038,cmpt_8038,70.80.40,00008037,cmpt_8037,49.7.72,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8037,00008038,na,0
00008039,cmpt_8039,61.68.60,00008038,cmpt_8038,70.80.40,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8038,00008039,na,0
00008040,cmpt_8040,49.26.32,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008040,na,0
00008041,cmpt_8041,12.84.37,00008040,cmpt_8040,49.26.32,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8040,00008041,na,0
00008042,cmpt_8042,95.52.91,00008041,cmpt_8041,12.84.37,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8041,00008042,na,0
00008043,cmpt_8043,39.71.90,00008042,cmpt_8042,95.52.91,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8042,00008043,na,0
00008044,cmpt_8044,49.68.74,00008043,cmpt_8043,39.71.90,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8043,00008044,na,0
00008045,cmpt_8045,38.47.6,00008044,cmpt_8044,49.68.74,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8044,00008045,na,0
00008046,cmpt_8046,46.36.74,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008046,na,0
00008047,cmpt_8047,12.1.62,00008046,cmpt_8046,46.36.74,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8046,00008047,na,0
00008048,cmpt_8048,4.91.78,00008047,cmpt_8047,12.1.62,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8047,00008048,na,0
00008049,cmpt_8049,80.37.44,00008048,cmpt_8048,4.91.78,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8048,00008049,na,0
00008050,cmpt_8050,20.33.86,00008049,cmpt_8049,80.37.44,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8049,00008050,na,0
00008051,cmpt_8051,45.66.80,00008050,cmpt_8050,20.33.86,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8050,00008051,na,0
00008052,cmpt_8052,34.39.43,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008052,na,0
00008053,cmpt_8053,27.89.32,00008052,cmpt_8052,34.39.43,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8052,00008053,na,0
00008054,cmpt_8054,21.41.42,00008053,cmpt_8053,27.89.32,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8053,00008054,na,0
00008055,cmpt_8055,23.31.56,00008054,cmpt_8054,21.41.42,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8054,00008055,na,0
00008056,cmpt_8056,55.91.39,00008055,cmpt_8055,23.31.56,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8055,00008056,na,0
00008057,cmpt_8057,96.60.28,00008056,cmpt_8056,55.91.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8056,00008057,na,0
00008058,cmpt_8058,94.4.70,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008058,na,0
00008059,cmpt_8059,47.43.2,00008058,cmpt_8058,94.4.70,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8058,00008059,na,0
00008060,cmpt_8060,86.77.28,00008059,cmpt_8059,47.43.2,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8059,00008060,na,0
00008061,cmpt_8061,75.64.87,00008060,cmpt_8060,86.77.28,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8060,00008061,na,0
00008062,cmpt_8062,9.100.19,00008061,cmpt_8061,75.64.87,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8061,00008062,na,0
00008063,cmpt_8063,72.46.39,00008062,cmpt_8062,9.100.19,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8062,00008063,na,0
00008064,cmpt_8064,90.57.75,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008064,na,0
00008065,cmpt_8065,97.52.74,00008064,cmpt_8064,90.57.75,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8064,00008065,na,0
00008066,cmpt_8066,31.17.17,00008065,cmpt_8065,97.52.74,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8065,00008066,na,0
00008067,cmpt_8067,15.71.68,00008066,cmpt_8066,31.17.17,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8066,00008067,na,0
00008068,cmpt_8068,84.18.39,00008067,cmpt_8067,15.71.68,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8067,00008068,na,0
00008069,cmpt_8069,18.65.86,00008068,cmpt_8068,84.18.39,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8068,00008069,na,0
00008070,cmpt_8070,60.24.8,00000020,cmpt_20,78.69.30,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_20,00008070,na,0
00008071,cmpt_8071,69.53.51,00008070,cmpt_8070,60.24.8,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8070,00008071,na,0
00008072,cmpt_8072,81.68.9,00008071,cmpt_8071,69.53.51,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8071,00008072,na,0
00008073,cmpt_8073,69.59.3,00008072,cmpt_8072,81.68.9,GPLv3,approved,Nate's Buffer Builder,Description of cmpt_8072,00008073,na,0
